"","X","plotID","LFID","SHOTNUMBER","TIME","GLON","GLAT","ZG","HLON","HLAT","ZH","TLON","TLAT","ZT","AZIMUTH","INCIDENTANGLE","RANGE","COMPLEXITY","SENSITIVITY","CHANNEL_ZT","CHANNEL_ZG","CHANNEL_RH","FID","plotID.1","pointID","mOrder","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","module","plot","plotEdge","Shape__Are","Shape__Len","GlobalID","filename","sensor","scientificName","BA","plot_BA","sp_prop","RH","value","rel_value"
"727",11143,"BONA_084",1958686797,95410278,85449.22298,-147.513076,65.155128,272.41,212.486928,65.155121,285.8,212.486929,65.155119,288.49,344.98,3.55,12495.53,0.627,0.981,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,40,6.06,0.376865671641791
"728",11144,"BONA_084",1958686797,95410279,85449.22323,-147.512879,65.155159,272.38,212.487126,65.155151,285.54,212.487127,65.15515,288.76,345.7,3.555,12496.58,0.542,0.978,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,40,1.5,0.0915750915750916
"729",12479,"BONA_070",1958686797,95411614,85449.55698,-147.509961,65.153784,248.7,212.49004,65.153783,253.19,212.49004,65.153781,256,347.35,2.666,12509.07,0.392,0.977,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.19,-0.026027397260274
"730",12481,"BONA_070",1958686797,95411616,85449.55748,-147.510057,65.153657,247.9,212.489944,65.153656,251.79,212.489944,65.153655,253.25,346.58,2.607,12508.48,0.15,0.978,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.37,-0.0691588785046729
"731",12482,"BONA_070",1958686797,95411617,85449.55773,-147.50987,65.153686,247.96,212.49013,65.153686,247.96,212.490131,65.153684,253.09,347.51,2.613,12508.62,0.148,0.975,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.26,-0.050682261208577
"732",12484,"BONA_070",1958686797,95411619,85449.55823,-147.509975,65.15356,247.18,212.490027,65.153559,251.97,212.490027,65.153558,252.75,346.69,2.555,12509.68,0.131,0.978,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.26,-0.046594982078853
"733",12485,"BONA_070",1958686797,95411620,85449.55848,-147.509798,65.153588,246.95,212.490202,65.153587,249.68,212.490203,65.153586,252.56,347.58,2.56,12508.78,0.123,0.978,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.22,-0.0391459074733096
"734",12487,"BONA_070",1958686797,95411622,85449.55898,-147.509885,65.153462,245.74,212.490116,65.153461,248.81,212.490117,65.153459,253.53,346.84,2.502,12510.43,0.141,0.976,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.34,-0.0436456996148909
"735",12488,"BONA_070",1958686797,95411623,85449.55923,-147.509708,65.15349,245.52,212.490293,65.153488,249.64,212.490293,65.153487,252.33,347.75,2.507,12511.03,0.153,0.978,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.34,-0.0499265785609398
"736",13476,"BONA_070",1958686797,95412611,85449.80623,-147.509375,65.15371,247.35,212.490627,65.153708,254.42,212.490627,65.153707,255.36,343.98,2.56,12509.08,0.178,0.975,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.34,-0.0424469413233458
"737",13479,"BONA_070",1958686797,95412614,85449.80698,-147.509456,65.153807,248.31,212.490544,65.153806,251.52,212.490545,65.153805,253.55,343.89,2.613,12508.33,0.143,0.98,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,40,-0.3,-0.0572519083969466
"738",15032,"BONA_071",1958686797,95414167,85450.19524,-147.507559,65.154877,255.15,212.492442,65.154874,260.69,212.492443,65.154873,263.5,346.32,2.982,12505.91,0.455,0.972,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.15,-0.0179640718562874
"739",16059,"BONA_071",1958686797,95415194,85450.45199,-147.506976,65.154838,254.14,212.493025,65.154836,258.55,212.493026,65.154835,261.59,343.21,2.896,12505.16,0.448,0.974,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.07,-0.00939597315436242
"740",16060,"BONA_071",1958686797,95415195,85450.45224,-147.506789,65.154868,253.89,212.493212,65.154866,257.03,212.493213,65.154865,260.74,344.05,2.899,12505.76,0.427,0.98,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.26,-0.037956204379562
"741",16062,"BONA_071",1958686797,95415197,85450.45274,-147.507059,65.15493,254.91,212.492942,65.154928,259.1,212.492943,65.154927,262.13,343.13,2.946,12505.76,0.451,0.977,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.11,-0.0152354570637119
"742",16063,"BONA_071",1958686797,95415198,85450.45299,-147.506883,65.154958,254.96,212.493118,65.154957,257.62,212.493119,65.154955,261.69,343.91,2.948,12505.01,0.426,0.979,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.22,-0.0326409495548961
"743",16065,"BONA_071",1958686797,95415200,85450.45349,-147.507143,65.15503,256,212.492859,65.155028,260.72,212.49286,65.155026,264.95,343.07,2.999,12505.46,0.455,0.976,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.19,-0.0212527964205817
"744",16066,"BONA_071",1958686797,95415201,85450.45374,-147.506966,65.155057,255.88,212.493035,65.155055,259.88,212.493036,65.155054,262.8,343.83,3.002,12506.5,0.282,0.978,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.34,-0.0491329479768786
"745",16067,"BONA_071",1958686797,95415202,85450.45399,-147.506779,65.155087,255.85,212.493222,65.155085,258.36,212.493223,65.155083,262.92,344.64,3.006,12505.31,0.399,0.978,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.22,-0.0311173974540311
"746",16068,"BONA_071",1958686797,95415203,85450.45424,-147.50724,65.155124,257.13,212.492762,65.155121,263.16,212.492763,65.15512,265.44,342.94,3.052,12504.55,0.404,0.974,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.04,-0.00481347773766546
"747",16069,"BONA_071",1958686797,95415204,85450.45449,-147.507053,65.155154,256.81,212.492949,65.155151,262.39,212.492949,65.15515,264.26,343.74,3.055,12505.45,0.227,0.983,1,1,1,1791,"BONA_071",41,409,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.154979,-147.507196,"WGS84","6N",476221.209,7225822.399,0.11,246.07,0.11,243.75,248.76,2.41,332,"evergreenForest","Histosols","Geo 7X",20160517,303,5.3,2.2,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","409T",40,9031.03125,380.126835680112,"1fa754c9-cef1-4e52-ac41-e22cf8741113","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",13238.8992,13424.6322,98.6164760625621,40,-0.34,-0.0456375838926175
"748",275119,"BONA_011",1958686868,104001348,87597.00798,-147.535858,65.195504,638.44,212.464135,65.195503,641.76,212.46413,65.195502,644.52,68.43,5.6,12162.33,0.406,0.977,1,1,1,1759,"BONA_011",41,139,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.195526,-147.535493,"WGS84","6N",474932.914,7230352.178,0.1,628.15,0.1,622.74,633.4,5.54,120,"evergreenForest","Histosols","Geo 7X",20160912,629,2,0.9,"cdw|cfc|dhp|div|hbp|vst","R","139R",40,9058.609375,380.70712630348,"4f3775e0-b335-462e-b9ad-1958201d2aee","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_087055.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",2512.6524,2512.6524,100,40,-0.34,-0.0559210526315789
"749",275120,"BONA_011",1958686868,104001349,87597.00823,-147.53579,65.195432,639.83,212.46421,65.195432,639.83,212.464199,65.19543,645.65,68.84,5.601,12161.28,0.263,0.981,1,1,1,1759,"BONA_011",41,139,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.195526,-147.535493,"WGS84","6N",474932.914,7230352.178,0.1,628.15,0.1,622.74,633.4,5.54,120,"evergreenForest","Histosols","Geo 7X",20160912,629,2,0.9,"cdw|cfc|dhp|div|hbp|vst","R","139R",40,9058.609375,380.70712630348,"4f3775e0-b335-462e-b9ad-1958201d2aee","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_087055.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",2512.6524,2512.6524,100,40,-0.34,-0.0584192439862543
"750",275121,"BONA_011",1958686868,104001350,87597.00848,-147.53572,65.195615,637.59,212.46427,65.195613,642.55,212.464265,65.195613,644.97,67.99,5.649,12165.03,0.151,0.982,1,1,1,1759,"BONA_011",41,139,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.195526,-147.535493,"WGS84","6N",474932.914,7230352.178,0.1,628.15,0.1,622.74,633.4,5.54,120,"evergreenForest","Histosols","Geo 7X",20160912,629,2,0.9,"cdw|cfc|dhp|div|hbp|vst","R","139R",40,9058.609375,380.70712630348,"4f3775e0-b335-462e-b9ad-1958201d2aee","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_087055.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",2512.6524,2512.6524,100,40,-0.37,-0.0501355013550136
"751",275122,"BONA_011",1958686868,104001351,87597.00873,-147.535648,65.195539,639.2,212.464343,65.195538,643.6,212.464338,65.195537,645.95,68.42,5.65,12163.83,0.334,0.979,1,1,1,1759,"BONA_011",41,139,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.195526,-147.535493,"WGS84","6N",474932.914,7230352.178,0.1,628.15,0.1,622.74,633.4,5.54,120,"evergreenForest","Histosols","Geo 7X",20160912,629,2,0.9,"cdw|cfc|dhp|div|hbp|vst","R","139R",40,9058.609375,380.70712630348,"4f3775e0-b335-462e-b9ad-1958201d2aee","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_087055.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",2512.6524,2512.6524,100,40,-0.15,-0.0222222222222222
"752",275123,"BONA_011",1958686868,104001352,87597.00898,-147.53558,65.195468,640.54,212.464414,65.195467,643.71,212.464412,65.195466,644.79,68.83,5.651,12161.58,0.122,0.983,1,1,1,1759,"BONA_011",41,139,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.195526,-147.535493,"WGS84","6N",474932.914,7230352.178,0.1,628.15,0.1,622.74,633.4,5.54,120,"evergreenForest","Histosols","Geo 7X",20160912,629,2,0.9,"cdw|cfc|dhp|div|hbp|vst","R","139R",40,9058.609375,380.70712630348,"4f3775e0-b335-462e-b9ad-1958201d2aee","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_087055.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",2512.6524,2512.6524,100,40,-0.41,-0.0964705882352941
"753",275124,"BONA_011",1958686868,104001353,87597.00923,-147.535497,65.195655,638.51,212.46449,65.195653,644.89,212.464489,65.195653,645.67,67.97,5.703,12165.17,0.107,0.979,1,1,1,1759,"BONA_011",41,139,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.195526,-147.535493,"WGS84","6N",474932.914,7230352.178,0.1,628.15,0.1,622.74,633.4,5.54,120,"evergreenForest","Histosols","Geo 7X",20160912,629,2,0.9,"cdw|cfc|dhp|div|hbp|vst","R","139R",40,9058.609375,380.70712630348,"4f3775e0-b335-462e-b9ad-1958201d2aee","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_087055.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",2512.6524,2512.6524,100,40,-0.3,-0.0418994413407821
"754",275125,"BONA_011",1958686868,104001354,87597.00948,-147.535429,65.195584,639.95,212.464559,65.195582,645.73,212.464555,65.195581,648.04,68.37,5.703,12163.82,0.289,0.983,1,1,1,1759,"BONA_011",41,139,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.195526,-147.535493,"WGS84","6N",474932.914,7230352.178,0.1,628.15,0.1,622.74,633.4,5.54,120,"evergreenForest","Histosols","Geo 7X",20160912,629,2,0.9,"cdw|cfc|dhp|div|hbp|vst","R","139R",40,9058.609375,380.70712630348,"4f3775e0-b335-462e-b9ad-1958201d2aee","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_087055.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",2512.6524,2512.6524,100,40,-0.15,-0.0185414091470952
